Environments,Algorithms,x1,reward,steps,time,episodes
Cartpolev0,DQN_CRL,0.0046694474,1.0,175,71.50099086761475,10
Cartpolev0,DQN_CRL,0.012559986,1.0,176,71.96272611618042,10
Cartpolev0,DQN_CRL,0.016564116,1.0,177,72.42945861816406,10
Cartpolev0,DQN_CRL,0.016686194,1.0,178,73.41889142990112,10
Cartpolev0,DQN_CRL,0.012928758,1.0,179,73.96557760238647,10
Cartpolev0,DQN_CRL,0.005292401,1.0,180,74.42233490943909,10
Cartpolev0,DQN_CRL,-0.0062242313,1.0,181,74.8650631904602,10
Cartpolev0,DQN_CRL,-0.0138218235,1.0,182,75.34079051017761,10
Cartpolev0,DQN_CRL,-0.02530691,1.0,183,75.81151914596558,10
Cartpolev0,DQN_CRL,-0.032878324,1.0,184,76.2622606754303,10
Cartpolev0,DQN_CRL,-0.03653935,1.0,185,76.70400762557983,10
Cartpolev0,DQN_CRL,-0.03629191,1.0,186,77.15974831581116,10
Cartpolev0,DQN_CRL,-0.03213638,1.0,187,77.57150983810425,10
Cartpolev0,DQN_CRL,-0.024071598,1.0,188,77.95229244232178,10
Cartpolev0,DQN_CRL,-0.019899204,1.0,189,78.33907055854797,10
Cartpolev0,DQN_CRL,-0.0118105225,1.0,190,78.79380941390991,10
Cartpolev0,DQN_CRL,0.00019662322,1.0,191,79.22856211662292,10
Cartpolev0,DQN_CRL,0.016125169,1.0,192,79.66031265258789,10
Cartpolev0,DQN_CRL,0.03597816,1.0,193,80.1650230884552,10
Cartpolev0,DQN_CRL,0.059757825,1.0,194,80.64574933052063,10
Cartpolev0,DQN_CRL,0.024519483,1.0,195,81.05851101875305,11
Cartpolev0,DQN_CRL,0.028401522,1.0,196,81.50025701522827,11
Cartpolev0,DQN_CRL,0.028385919,1.0,197,81.93500971794128,11
Cartpolev0,DQN_CRL,0.024474198,1.0,198,82.37477564811707,11
Cartpolev0,DQN_CRL,0.024470743,1.0,199,82.79251646995544,11
Cartpolev0,DQN_CRL,0.020569066,1.0,200,83.20328164100647,11
Cartpolev0,DQN_CRL,0.020573784,1.0,201,83.66002011299133,11
Cartpolev0,DQN_CRL,0.024483187,1.0,202,84.13674592971802,11
Cartpolev0,DQN_CRL,0.032297198,1.0,203,84.58648800849915,11
Cartpolev0,DQN_CRL,0.036212552,1.0,204,85.0062472820282,11
Cartpolev0,DQN_CRL,0.044037264,1.0,205,85.47497868537903,11
Cartpolev0,DQN_CRL,0.04796839,1.0,206,85.86975193023682,11
Cartpolev0,DQN_CRL,0.048009686,1.0,207,86.28851270675659,11
Cartpolev0,DQN_CRL,0.044163145,1.0,208,86.71227025985718,11
Cartpolev0,DQN_CRL,0.04423238,1.0,209,87.10304546356201,11
Cartpolev0,DQN_CRL,0.0404124,1.0,210,87.51980781555176,11
Cartpolev0,DQN_CRL,0.032703537,1.0,211,87.98154187202454,11
Cartpolev0,DQN_CRL,0.021104274,1.0,212,88.39930200576782,11
Cartpolev0,DQN_CRL,0.005611393,1.0,213,88.80109119415283,11
Cartpolev0,DQN_CRL,-0.013779736,1.0,214,89.21283555030823,11
Cartpolev0,DQN_CRL,-0.029269848,1.0,215,89.84447360038757,11
Cartpolev0,DQN_CRL,-0.048670724,1.0,216,90.34518575668335,11
Cartpolev0,DQN_CRL,-0.064183414,1.0,217,90.91286206245422,11
Cartpolev0,DQN_CRL,-0.08361792,1.0,218,91.38958859443665,11
Cartpolev0,DQN_CRL,-0.10697714,1.0,219,91.88230514526367,11
Cartpolev0,DQN_CRL,-0.13426341,1.0,220,92.35903191566467,11
Cartpolev0,DQN_CRL,-0.16547734,1.0,221,92.8797333240509,11
Cartpolev0,DQN_CRL,0.010730921,1.0,222,93.33847212791443,12
Cartpolev0,DQN_CRL,0.015553748,1.0,223,93.82519268989563,12
Cartpolev0,DQN_CRL,0.024275592,1.0,224,94.29692029953003,12
Cartpolev0,DQN_CRL,0.029093506,1.0,225,94.78066229820251,12
Cartpolev0,DQN_CRL,0.030010974,1.0,226,95.25936913490295,12
Cartpolev0,DQN_CRL,0.03483466,1.0,227,95.78506755828857,12
Cartpolev0,DQN_CRL,0.035759937,1.0,228,96.2248158454895,12
Cartpolev0,DQN_CRL,0.04059341,1.0,229,96.69554567337036,12
Cartpolev0,DQN_CRL,0.04933525,1.0,230,97.15128493309021,12
Cartpolev0,DQN_CRL,0.054182686,1.0,231,97.67098617553711,12
Cartpolev0,DQN_CRL,0.062943675,1.0,232,98.15670919418335,12
Cartpolev0,DQN_CRL,0.07561974,1.0,233,98.64942479133606,12
Cartpolev0,DQN_CRL,0.092213534,1.0,234,99.17112636566162,12
Cartpolev0,DQN_CRL,0.1049271,1.0,235,99.70082330703735,12
Cartpolev0,DQN_CRL,0.11376944,1.0,236,100.14356994628906,12
Cartpolev0,DQN_CRL,0.12654406,1.0,237,100.619295835495,12
Cartpolev0,DQN_CRL,0.13545857,1.0,238,101.1050169467926,12
Cartpolev0,DQN_CRL,0.14052172,1.0,239,101.55775904655457,12
Cartpolev0,DQN_CRL,0.14952724,1.0,240,102.0264892578125,12
Cartpolev0,DQN_CRL,0.029875854,1.0,241,102.42126274108887,13
Cartpolev0,DQN_CRL,0.03278932,1.0,242,102.91897678375244,13
Cartpolev0,DQN_CRL,0.039616313,1.0,243,103.35572648048401,13
Cartpolev0,DQN_CRL,0.042554792,1.0,244,103.75149941444397,13
Cartpolev0,DQN_CRL,0.04160914,1.0,245,104.20423984527588,13
Cartpolev0,DQN_CRL,0.044584166,1.0,246,104.6699731349945,13
